X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16
MGI	MGI:108359	Alx4	involved_in	GO:0001942	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:Q9H161	P	aristaless-like homeobox 4	Aristaless-like 4	protein_coding_gene	taxon:10090	20100901	MGI		
MGI	MGI:3513977	Apcdd1	involved_in	GO:0001942	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:Q8J025	P	adenomatosis polyposis coli down-regulated 1	Drapc1|EIG180	protein_coding_gene	taxon:10090	20100423	MGI		
MGI	MGI:88138	Bcl2	involved_in	GO:0031069	MGI:MGI:63353|PMID:8402909	IMP		P	B cell leukemia/lymphoma 2	Bcl-2|C430015F12Rik|D830018M01Rik	protein_coding_gene	taxon:10090	20070305	UniProt		
MGI	MGI:2443583	Fermt1	involved_in	GO:0051886	MGI:MGI:5571208|PMID:24681597	IMP		P	fermitin family member 1	5830467P10Rik|Kindlin-1	protein_coding_gene	taxon:10090	20161121	CAFA		
MGI	MGI:102949	Foxn1	involved_in	GO:0051798	MGI:MGI:5437206|PMID:21109991	IMP		P	forkhead box N1	D11Bhm185e|Hfh11|whn	protein_coding_gene	taxon:10090	20150111	UniProt		
MGI	MGI:1917550	Fuz	involved_in	GO:0001942	MGI:MGI:5009776|PMID:20962855	IMP		P	fuzzy planar cell polarity protein	2600013E07Rik|b2b1273Clo	protein_coding_gene	taxon:10090	20110413	UniProt		
MGI	MGI:108476	Fzd3	involved_in	GO:0001942	MGI:MGI:2135857|PMID:11407985	IEP		P	frizzled class receptor 3	D930050A07Rik|Fz3	protein_coding_gene	taxon:10090	20100818	BHF-UCL		
MGI	MGI:95728	Gli2	involved_in	GO:0031069	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:P10070	P	GLI-Kruppel family member GLI2		protein_coding_gene	taxon:10090	20191016	MGI		
MGI	MGI:95777	Gnas	involved_in	GO:0060789	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:P63092	P	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	Galphas|G alpha s|Gnas1|Gnasxl|Gsa|Gs alpha|Gs-alpha|Nesp|Nesp55|Nespl|neuroendocrine-specific Golgi protein p55 isoform 1|Oedsml|P1|P2|P3|SCG6|XLalphas	protein_coding_gene	taxon:10090	20131106	MGI		
MGI	MGI:95777	Gnas	involved_in	GO:0060789	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:P84996	P	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	Galphas|G alpha s|Gnas1|Gnasxl|Gsa|Gs alpha|Gs-alpha|Nesp|Nesp55|Nespl|neuroendocrine-specific Golgi protein p55 isoform 1|Oedsml|P1|P2|P3|SCG6|XLalphas	protein_coding_gene	taxon:10090	20131106	MGI		
MGI	MGI:3044668	Gsdma3	involved_in	GO:0001942	MGI:MGI:6467719|PMID:28168650	IMP		P	gasdermin A3	Bsk|Dfl|Fgn|Gsdm1l|Gsdm3|Rco2|Rim3	protein_coding_gene	taxon:10090	20200916	UniProt		
MGI	MGI:108086	Hdac1	involved_in	GO:0060789	MGI:MGI:4889029|PMID:21093383	IGI	UniProtKB:P70288	P	histone deacetylase 1	HD1|MommeD5|RPD3	protein_coding_gene	taxon:10090	20110202	BHF-UCL		
MGI	MGI:1097691	Hdac2	involved_in	GO:0060789	MGI:MGI:4889029|PMID:21093383	IGI	UniProtKB:O09106	P	histone deacetylase 2	D10Wsu179e|Yy1bp	protein_coding_gene	taxon:10090	20110202	BHF-UCL		
MGI	MGI:1343124	Hpse	involved_in	GO:0051797	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:Q9Y251	P	heparanase	Hpa	protein_coding_gene	taxon:10090	20110815	MGI		
MGI	MGI:1343124	Hpse	involved_in	GO:0051798	MGI:MGI:3574236|PMID:15793281	IDA		P	heparanase	Hpa	protein_coding_gene	taxon:10090	20110815	UniProt		
MGI	MGI:96570	Inhba	involved_in	GO:0001942	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:P08476	P	inhibin beta-A	activin beta-A	protein_coding_gene	taxon:10090	20100630	MGI		
MGI	MGI:96691	Krt17	involved_in	GO:0031069	MGI:MGI:2450823|PMID:12050118	IMP		P	keratin 17	K17|Krt1-17	protein_coding_gene	taxon:10090	20141216	UniProt		
MGI	MGI:96691	Krt17	involved_in	GO:0051798	MGI:MGI:3624581|PMID:16702408	IMP		P	keratin 17	K17|Krt1-17	protein_coding_gene	taxon:10090	20071008	UniProt		
MGI	MGI:1861586	Krt71	involved_in	GO:0031069	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:Q3SY84	P	keratin 71	Ca|Cal4|Cu|Krt2-6g|mK6irs|mK6irs1	protein_coding_gene	taxon:10090	20140903	MGI		
MGI	MGI:1861586	Krt71	involved_in	GO:0031069	MGI:MGI:2679780|PMID:14573483	IMP		P	keratin 71	Ca|Cal4|Cu|Krt2-6g|mK6irs|mK6irs1	protein_coding_gene	taxon:10090	20050208	UniProt		
MGI	MGI:107252	Nsun2	involved_in	GO:0048820	MGI:MGI:5304206|PMID:22144916	IMP		P	NOL1/NOP2/Sun domain family member 2	Misu	protein_coding_gene	taxon:10090	20191007	UniProt		
MGI	MGI:2443665	Numa1	involved_in	GO:0051798	MGI:MGI:5754878|PMID:26765568	IMP		P	nuclear mitotic apparatus protein 1	6720401E04Rik|NuMA	protein_coding_gene	taxon:10090	20170421	UniProt		
MGI	MGI:2136940	Pias4	acts_upstream_of_or_within	GO:0001942	MGI:MGI:1861161|PMID:10854042	IEP		P	protein inhibitor of activated STAT 4	PIASy	protein_coding_gene	taxon:10090	20210706	UniProt		
MGI	MGI:1347522	Pla2g10	involved_in	GO:0031069	MGI:MGI:4947921|PMID:21266583	IMP		P	phospholipase A2, group X	GX sPLA2|mGXsPLA2|PLA2GX	protein_coding_gene	taxon:10090	20200508	UniProt		
MGI	MGI:98726	Tgfb2	involved_in	GO:0001942	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:P61812	P	transforming growth factor, beta 2	Tgfb-2|Tgf-beta2	protein_coding_gene	taxon:10090	20051202	MGI		
MGI	MGI:98726	Tgfb2	involved_in	GO:0001942	MGI:MGI:1342915|PMID:10433821	IMP		P	transforming growth factor, beta 2	Tgfb-2|Tgf-beta2	protein_coding_gene	taxon:10090	20051202	UniProt		
MGI	MGI:98726	Tgfb2	involved_in	GO:0031069	MGI:MGI:1342915|PMID:10433821	IMP		P	transforming growth factor, beta 2	Tgfb-2|Tgf-beta2	protein_coding_gene	taxon:10090	20051202	UniProt		
MGI	MGI:98726	Tgfb2	involved_in	GO:0051795	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:P61812	P	transforming growth factor, beta 2	Tgfb-2|Tgf-beta2	protein_coding_gene	taxon:10090	20060118	MGI		
MGI	MGI:104798	Tnf	involved_in	GO:0051798	MGI:MGI:3624581|PMID:16702408	IMP		P	tumor necrosis factor	DIF|Tnfa|TNFalpha|TNF alpha|TNF-alpha|Tnfsf1a|tumor necrosis factor-alpha	protein_coding_gene	taxon:10090	20071008	UniProt		
MGI	MGI:109200	Tradd	involved_in	GO:0051798	MGI:MGI:3624581|PMID:16702408	IMP		P	TNFRSF1A-associated via death domain	9130005N23Rik	protein_coding_gene	taxon:10090	20071008	UniProt		
MGI	MGI:1927616	Trps1	involved_in	GO:0001942	MGI:MGI:5470362|PMID:23133399	IMP		P	transcriptional repressor GATA binding 1	D15Ertd586e|trichorhinophalangeal syndrome I (human)	protein_coding_gene	taxon:10090	20130210	CACAO		
MGI	MGI:108071	Wnt10a	involved_in	GO:0001942	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:Q9GZT5	P	wingless-type MMTV integration site family, member 10A		protein_coding_gene	taxon:10090	20100701	MGI		
MGI	MGI:108071	Wnt10a	involved_in	GO:0031069	MGI:MGI:4834177|GO_REF:0000096	ISO	UniProtKB:Q9GZT5	P	wingless-type MMTV integration site family, member 10A		protein_coding_gene	taxon:10090	20100701	MGI		
MGI	MGI:98958	Wnt5a	involved_in	GO:0051885	MGI:MGI:5571208|PMID:24681597	IDA		P	wingless-type MMTV integration site family, member 5A	8030457G12Rik|Wnt-5a	protein_coding_gene	taxon:10090	20180711	CAFA		
MGI	MGI:2157767	Krtap21-1	involved_in	GO:0001942	PMID:21873635	IBA	PANTHER:PTN002526071|MGI:MGI:2157767	P	keratin associated protein 21-1	1110017B05Rik|Krtap16-7	protein_coding_gene	taxon:10090	20200917	GO_Central		
MGI	MGI:1918093	Krt28	involved_in	GO:0031069	PMID:21873635	IBA	PANTHER:PTN004620770|MGI:MGI:1339999|MGI:MGI:1918060	P	keratin 28	4733401L19Rik	protein_coding_gene	taxon:10090	20211108	GO_Central		
MGI	MGI:1918060	Krt25	involved_in	GO:0031069	PMID:21873635	IBA	PANTHER:PTN004620770|MGI:MGI:1339999|MGI:MGI:1918060	P	keratin 25	4631426H08Rik|mIRSa1	protein_coding_gene	taxon:10090	20211108	GO_Central		
MGI	MGI:1339999	Krt27	involved_in	GO:0031069	PMID:21873635	IBA	PANTHER:PTN004620770|MGI:MGI:1339999|MGI:MGI:1918060	P	keratin 27	Krt1-c29|mIRSa3.1|stpm	protein_coding_gene	taxon:10090	20211108	GO_Central		
MGI	MGI:894663	Ext1	acts_upstream_of_or_within	GO:0031069	PMID:25053416	IMP		P	exostosin glycosyltransferase 1		protein_coding_gene	taxon:10090	20200430	MGI	part_of(GO:0043588)	
MGI	MGI:94903	Dlx3	involved_in	GO:0031069	PMID:18684741	IMP	MGI:MGI:3813133	P	distal-less homeobox 3	Dlx-3	protein_coding_gene	taxon:10090	20211108	MGI		
MGI	MGI:94903	Dlx3	involved_in	GO:0031069	PMID:18684741	IMP	MGI:MGI:3813130	P	distal-less homeobox 3	Dlx-3	protein_coding_gene	taxon:10090	20211108	MGI		
MGI	MGI:94903	Dlx3	involved_in	GO:0001942	PMID:18684741	IMP	MGI:MGI:3813133	P	distal-less homeobox 3	Dlx-3	protein_coding_gene	taxon:10090	20211108	MGI	occurs_in(EMAPA:17528)	
MGI	MGI:94903	Dlx3	involved_in	GO:0001942	PMID:18684741	IMP	MGI:MGI:3813130	P	distal-less homeobox 3	Dlx-3	protein_coding_gene	taxon:10090	20211108	MGI	occurs_in(EMAPA:17528)	
MGI	MGI:99914	Lamc1	involved_in	GO:0031069	PMID:27234308	IMP	MGI:MGI:2683482	P	laminin, gamma 1	Lamb2|laminin B2	protein_coding_gene	taxon:10090	20211109	MGI		
MGI	MGI:1931751	Pum2	involved_in	GO:0001942	PMID:30735131	IDA		P	pumilio RNA-binding family member 2	Pumm2|5730503J23Rik	protein_coding_gene	taxon:10090	20211110	MGI		
MGI	MGI:2673128	Lncpint	involved_in	GO:0001942	PMID:25909911	IMP	MGI:MGI:5563545	P	long non-protein coding RNA, Trp53 induced transcript	MNCb-1768|AB041803|Linc-Pint|Lincpint|Pint	lncRNA_gene	taxon:10090	20211118	MGI		
MGI	MGI:1351641	Naglu	acts_upstream_of_or_within	GO:0031069	PMID:19632871	IMP	MGI:MGI:1934018	P	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)		protein_coding_gene	taxon:10090	20221214	MGI		
MGI	MGI:101884	Ppard	acts_upstream_of_or_within	GO:0042640	PMID:15713628	IMP	MGI:MGI:3575004	P	peroxisome proliferator activator receptor delta	Nr1c2|PPARdelta/beta|NUC1|Peroxisome proliferator-activated receptor beta|Pparb|PPAR-delta|Pparb/d	protein_coding_gene	taxon:10090	20050511	MGI	occurs_in(EMAPA:35246)	
MGI	MGI:102672	Runx3	acts_upstream_of_or_within	GO:0031069	PMID:15937937	IMP	MGI:MGI:2183399	P	runt related transcription factor 3	AML2|Cbfa3|Rx3	protein_coding_gene	taxon:10090	20050912	MGI		
MGI	MGI:102949	Foxn1	acts_upstream_of_or_within	GO:0001942	PMID:21191399	IMP	MGI:MGI:1856108	P	forkhead box N1	whn|Hfh11|D11Bhm185e	protein_coding_gene	taxon:10090	20121227	MGI		
MGI	MGI:103290	Rela	acts_upstream_of_or_within	GO:0001942	PMID:16481354	IMP		P	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	p65 NF kappaB|p65	protein_coding_gene	taxon:10090	20060607	MGI	results_in_development_of(EMAPA:18771)	
MGI	MGI:103290	Rela	acts_upstream_of_or_within	GO:0001942	PMID:16481354	IMP		P	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	p65 NF kappaB|p65	protein_coding_gene	taxon:10090	20060607	MGI	results_in_development_of(EMAPA:17524)	
MGI	MGI:103559	Sox18	acts_upstream_of_or_within	GO:0001942	PMID:10742113	IMP	MGI:MGI:1856135	P	SRY (sex determining region Y)-box 18	Sry-related HMG-box gene 18|Ragl	protein_coding_gene	taxon:10090	20100225	MGI		
MGI	MGI:103559	Sox18	acts_upstream_of_or_within	GO:0001942	PMID:11094083	IMP	MGI:MGI:2178809	P	SRY (sex determining region Y)-box 18	Sry-related HMG-box gene 18|Ragl	protein_coding_gene	taxon:10090	20100225	MGI		
MGI	MGI:105382	Lama5	acts_upstream_of_or_within	GO:0001942	PMID:18676816	IMP	MGI:MGI:1934917	P	laminin, alpha 5		protein_coding_gene	taxon:10090	20090226	MGI	results_in_development_of(EMAPA:17525)	
MGI	MGI:105976	Myo5a	acts_upstream_of_or_within	GO:0048820	PMID:25340873	IMP	MGI:MGI:5641704	P	myosin VA	MVa|MyoVA|Myo5|flail|9630007J19Rik|Dbv	protein_coding_gene	taxon:10090	20161221	MGI		
MGI	MGI:105976	Myo5a	acts_upstream_of_or_within	GO:0042640	PMID:15550542	IMP	MGI:MGI:1856004	P	myosin VA	MVa|MyoVA|Myo5|flail|9630007J19Rik|Dbv	protein_coding_gene	taxon:10090	20050207	MGI	occurs_in(EMAPA:18769)	
MGI	MGI:106032	Tfap2c	acts_upstream_of_or_within	GO:0001942	PMID:18824566	IGI	MGI:MGI:104671	P	transcription factor AP-2, gamma	Ap-2.2|Stra2|AP2gamma|Tcfap2c	protein_coding_gene	taxon:10090	20110216	MGI	results_in_development_of(EMAPA:18771)	
